id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_wisatawan,jumlah_pengunjung,satuan,tahun
78,32,JAWA BARAT,3213,KABUPATEN SUBANG,NUSANTARA,1455789,ORANG,2015
79,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MANCANEGARA,0,ORANG,2015
80,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NUSANTARA,0,ORANG,2015
81,32,JAWA BARAT,3215,KABUPATEN KARAWANG,MANCANEGARA,0,ORANG,2015
82,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NUSANTARA,7364,ORANG,2015
83,32,JAWA BARAT,3216,KABUPATEN BEKASI,MANCANEGARA,0,ORANG,2015
84,32,JAWA BARAT,3216,KABUPATEN BEKASI,NUSANTARA,0,ORANG,2015
85,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MANCANEGARA,1,ORANG,2015
86,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NUSANTARA,28231,ORANG,2015
87,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,MANCANEGARA,0,ORANG,2015
88,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,NUSANTARA,0,ORANG,2015
89,32,JAWA BARAT,3271,KOTA BOGOR ,MANCANEGARA,0,ORANG,2015
90,32,JAWA BARAT,3271,KOTA BOGOR ,NUSANTARA,178764,ORANG,2015
91,32,JAWA BARAT,3272,KOTA SUKABUMI,MANCANEGARA,135,ORANG,2015
92,32,JAWA BARAT,3272,KOTA SUKABUMI,NUSANTARA,10776,ORANG,2015
93,32,JAWA BARAT,3273,KOTA BANDUNG,MANCANEGARA,0,ORANG,2015
94,32,JAWA BARAT,3273,KOTA BANDUNG,NUSANTARA,0,ORANG,2015
95,32,JAWA BARAT,3274,KOTA CIREBON,MANCANEGARA,0,ORANG,2015
96,32,JAWA BARAT,3274,KOTA CIREBON,NUSANTARA,13096,ORANG,2015
97,32,JAWA BARAT,3275,KOTA BEKASI ,MANCANEGARA,0,ORANG,2015
98,32,JAWA BARAT,3275,KOTA BEKASI ,NUSANTARA,0,ORANG,2015
99,32,JAWA BARAT,3276,KOTA DEPOK ,MANCANEGARA,0,ORANG,2015
100,32,JAWA BARAT,3276,KOTA DEPOK ,NUSANTARA,0,ORANG,2015
101,32,JAWA BARAT,3277,KOTA CIMAHI,MANCANEGARA,0,ORANG,2015
102,32,JAWA BARAT,3277,KOTA CIMAHI,NUSANTARA,0,ORANG,2015
103,32,JAWA BARAT,3278,KOTA TASIKMALAYA,MANCANEGARA,0,ORANG,2015
104,32,JAWA BARAT,3278,KOTA TASIKMALAYA,NUSANTARA,33420,ORANG,2015
105,32,JAWA BARAT,3279,KOTA BANJAR,MANCANEGARA,0,ORANG,2015
106,32,JAWA BARAT,3279,KOTA BANJAR,NUSANTARA,6923,ORANG,2015
107,32,JAWA BARAT,3201,KABUPATEN BOGOR,MANCANEGARA,0,ORANG,2016
108,32,JAWA BARAT,3201,KABUPATEN BOGOR,NUSANTARA,0,ORANG,2016
109,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MANCANEGARA,2849,ORANG,2016
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NUSANTARA,111947,ORANG,2016
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,MANCANEGARA,1800,ORANG,2016
