id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,sektor_wisata,jumlah_pendapatan,satuan,tahun
58,32,JAWA BARAT,3215,KABUPATEN KARAWANG,RESTORAN/RUMAH MAKAN,0,RUPIAH,2014
59,32,JAWA BARAT,3215,KABUPATEN KARAWANG,HIBURAN,0,RUPIAH,2014
60,32,JAWA BARAT,3215,KABUPATEN KARAWANG,RETRIBUSI,0,RUPIAH,2014
61,32,JAWA BARAT,3216,KABUPATEN BEKASI,HOTEL,732564174,RUPIAH,2014
62,32,JAWA BARAT,3216,KABUPATEN BEKASI,RESTORAN/RUMAH MAKAN,343945054,RUPIAH,2014
63,32,JAWA BARAT,3216,KABUPATEN BEKASI,HIBURAN,0,RUPIAH,2014
64,32,JAWA BARAT,3216,KABUPATEN BEKASI,RETRIBUSI,0,RUPIAH,2014
65,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,HOTEL,12172543668,RUPIAH,2014
66,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,RESTORAN/RUMAH MAKAN,9686084099,RUPIAH,2014
67,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,HIBURAN,1329365744,RUPIAH,2014
68,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,RETRIBUSI,93146000,RUPIAH,2014
69,32,JAWA BARAT,3271,KOTA BOGOR,HOTEL,27528683203,RUPIAH,2014
70,32,JAWA BARAT,3271,KOTA BOGOR,RESTORAN/RUMAH MAKAN,39510789644,RUPIAH,2014
71,32,JAWA BARAT,3271,KOTA BOGOR,HIBURAN,13707405648,RUPIAH,2014
72,32,JAWA BARAT,3271,KOTA BOGOR,RETRIBUSI,0,RUPIAH,2014
73,32,JAWA BARAT,3272,KOTA SUKABUMI,HOTEL,585125122,RUPIAH,2014
74,32,JAWA BARAT,3272,KOTA SUKABUMI,RESTORAN/RUMAH MAKAN,2771548000,RUPIAH,2014
75,32,JAWA BARAT,3272,KOTA SUKABUMI,HIBURAN,510334000,RUPIAH,2014
76,32,JAWA BARAT,3272,KOTA SUKABUMI,RETRIBUSI,77470000,RUPIAH,2014
77,32,JAWA BARAT,3273,KOTA BANDUNG,HOTEL,72300805686,RUPIAH,2014
78,32,JAWA BARAT,3273,KOTA BANDUNG,RESTORAN/RUMAH MAKAN,66601904599,RUPIAH,2014
79,32,JAWA BARAT,3273,KOTA BANDUNG,HIBURAN,22540126656,RUPIAH,2014
80,32,JAWA BARAT,3273,KOTA BANDUNG,RETRIBUSI,1400000000,RUPIAH,2014
81,32,JAWA BARAT,3274,KOTA CIREBON,HOTEL,2136290890,RUPIAH,2014
82,32,JAWA BARAT,3274,KOTA CIREBON,RESTORAN/RUMAH MAKAN,2948706101,RUPIAH,2014
83,32,JAWA BARAT,3274,KOTA CIREBON,HIBURAN,1031185094,RUPIAH,2014
84,32,JAWA BARAT,3274,KOTA CIREBON,RETRIBUSI,22500000,RUPIAH,2014
