id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_wisatawan,jumlah_pengunjung,satuan,tahun
33,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MANCANEGARA,278027,ORANG,2014
34,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NUSANTARA,1278179,ORANG,2014
35,32,JAWA BARAT,3271,KOTA BOGOR,MANCANEGARA,104075,ORANG,2014
36,32,JAWA BARAT,3271,KOTA BOGOR,NUSANTARA,5293040,ORANG,2014
37,32,JAWA BARAT,3272,KOTA SUKABUMI,MANCANEGARA,270,ORANG,2014
38,32,JAWA BARAT,3272,KOTA SUKABUMI,NUSANTARA,118428,ORANG,2014
39,32,JAWA BARAT,3273,KOTA BANDUNG,MANCANEGARA,30178,ORANG,2014
40,32,JAWA BARAT,3273,KOTA BANDUNG,NUSANTARA,1431290,ORANG,2014
41,32,JAWA BARAT,3274,KOTA CIREBON,MANCANEGARA,1050,ORANG,2014
42,32,JAWA BARAT,3274,KOTA CIREBON,NUSANTARA,1354722,ORANG,2014
43,32,JAWA BARAT,3275,KOTA BEKASI,MANCANEGARA,0,ORANG,2014
44,32,JAWA BARAT,3275,KOTA BEKASI,NUSANTARA,0,ORANG,2014
45,32,JAWA BARAT,3276,KOTA DEPOK,MANCANEGARA,7812,ORANG,2014
46,32,JAWA BARAT,3276,KOTA DEPOK,NUSANTARA,1864273,ORANG,2014
47,32,JAWA BARAT,3277,KOTA CIMAHI,MANCANEGARA,0,ORANG,2014
48,32,JAWA BARAT,3277,KOTA CIMAHI,NUSANTARA,0,ORANG,2014
49,32,JAWA BARAT,3278,KOTA TASIKMALAYA,MANCANEGARA,267044,ORANG,2014
50,32,JAWA BARAT,3278,KOTA TASIKMALAYA,NUSANTARA,21921,ORANG,2014
51,32,JAWA BARAT,3279,KOTA BANJAR,MANCANEGARA,0,ORANG,2014
52,32,JAWA BARAT,3279,KOTA BANJAR,NUSANTARA,6166,ORANG,2014
